fac_cd,fac_nm,ctp_cd,ctp_nm,sig_cd,sig_nm,emd_cd,emd_nm,all_addr_nm,lat,lon
SH00001521,수내고등학교,4100000000,경기도,4113500000,성남시 분당구,4113510200,수내동,경기도 성남시 분당구 수내동 120,37.3659989,127.1293224
SH00006020,수도여자고등학교,1100000000,서울특별시,1159000000,동작구,1159010900,신대방동,서울특별시 동작구 신대방동 470-13,37.4933263030435,126.915298895816
SH00009736,수도전기공업고등학교,1100000000,서울특별시,1168000000,강남구,1168010300,개포동,서울특별시 강남구 개포동 155,37.484938075,127.0644797963
SH00001728,수락고등학교,1100000000,서울특별시,1135000000,노원구,1135010500,상계동,서울특별시 노원구 상계동 1253,37.6827335,127.0535593
SH00010150,수리고등학교,4100000000,경기도,4141000000,군포시,4141010400,산본동,경기도 군포시 산본동 1152-4,37.3552039,126.9197368
SH00001762,수명고등학교,1100000000,서울특별시,1150000000,강서구,1150010600,내발산동,서울특별시 강서구 내발산동 758,37.5497013,126.8242688
SH00001906,수비고등학교,4700000000,경상북도,4776000000,영양군,4776034031,수비면,경상북도 영양군 수비면 발리리 500,36.7650235722,129.203753183
SH00002507,수성고등학교,4100000000,경기도,4111100000,수원시 장안구,4111113000,정자동,경기도 수원시 장안구 정자동 49,37.2938815,127.0029801
SH00009238,수성고등학교,2700000000,대구광역시,2726000000,수성구,2726011200,지산동,대구광역시 수성구 두산동 산 1-1,35.8210304,128.6258546
SH00011372,양동고등학교,4100000000,경기도,4183000000,양평군,4183038021,양동면,경기도 양평군 양동면 쌍학리 215-2,37.4212322,127.755712
SH00009668,양명고등학교,4100000000,경기도,4117100000,안양시 만안구,4117110100,안양동,경기도 안양시 만안구 안양동 67,37.4088825,126.9205038
SH00000442,양명여자고등학교,4100000000,경기도,4117100000,안양시 만안구,4117110100,안양동,경기도 안양시 만안구 안양동 65-1,37.4068078,126.9218325
SH00005277,양산고등학교,4800000000,경상남도,4833000000,양산시,4833010400,북부동,경상남도 양산시 북부동 255,35.3486637495,129.0445079
SH00005278,양산남부고등학교,4800000000,경상남도,4833000000,양산시,4833010200,남부동,경상남도 양산시 남부동 556-2,35.3325819805,129.024750818
SH00006071,양산여자고등학교,4800000000,경상남도,4833000000,양산시,4833011000,교동,경상남도 양산시 교동 206,35.3445544057,129.025084812
SH00010521,양산제일고등학교,4800000000,경상남도,4833000000,양산시,4833011000,교동,경상남도 양산시 교동 273,35.3446831,129.023796974
SH00011373,양서고등학교,4100000000,경기도,4183000000,양평군,4183033022,양서면,경기도 양평군 양서면 용담리 221-1,37.5478325,127.328117
SH00006971,양양고등학교,5100000000,강원특별자치도,5183000000,양양군,5183025035,양양읍,강원특별자치도 양양군 양양읍 서문리 115-3,38.0722603,128.6165026
SH00007015,양업고등학교,4300000000,충청북도,4311300000,청주시 흥덕구,4311332024,옥산면,충청북도 청주시 흥덕구 옥산면 환희리 176,36.6713735243,127.3473567
SH00000422,양영디지털고등학교,4100000000,경기도,4113500000,성남시 분당구,4113510500,서현동,경기도 성남시 분당구 서현동 316,37.3738517,127.1403935
SH00006193,온양고등학교,4400000000,충청남도,4420000000,아산시,4420010100,온천동,충청남도 아산시 실옥동 183-18,36.7845759,126.9953567
SH00007549,온양여자고등학교,4400000000,충청남도,4420000000,아산시,4420011100,풍기동,충청남도 아산시 풍기동 214-19,36.7784499592,127.0135679406
SH00006206,온양용화고등학교,4400000000,충청남도,4420000000,아산시,4420011200,용화동,충청남도 아산시 용화동 38-17,36.7736641,127.0030973
SH00004175,온양한올고등학교,4400000000,충청남도,4420000000,아산시,4420011400,권곡동,충청남도 아산시 권곡동 536-28,36.7880849,127.0105079
SH00002520,와룡고등학교,2700000000,대구광역시,2729000000,달서구,2729010800,이곡동,대구광역시 달서구 이곡동 1318,35.8614245,128.5037688
SH00000369,와부고등학교,4100000000,경기도,4136000000,남양주시,4136025021,와부읍,경기도 남양주시 와부읍 덕소리 141-33,37.5947159,127.2230918
SH00002384,완도고등학교,4600000000,전라남도,4689000000,완도군,4689025022,완도읍,전라남도 완도군 완도읍 가용리 32-1,34.3230152,126.7394799
SH00010511,완도금일고등학교,4600000000,전라남도,4689000000,완도군,4689025321,금일읍,전라남도 완도군 금일읍 화목리 88,34.3490368,127.0323436
SH00009732,서울전자고등학교,1100000000,서울특별시,1165000000,서초구,1165010100,방배동,서울특별시 서초구 방배동 2727,37.4693105,126.988415
SH00004083,수완고등학교,2900000000,광주광역시,2920000000,광산구,2920011400,수완동,광주광역시 광산구 수완동 924,35.1982767,126.8255743
SH00007542,수원고등학교,4100000000,경기도,4111500000,수원시 팔달구,4111513300,매교동,경기도 수원시 팔달구 매교동 283-29,37.2669446,127.0177408
SH00004158,수원공업고등학교,4100000000,경기도,4111500000,수원시 팔달구,4111514100,인계동,경기도 수원시 팔달구 인계동 249-1,37.2743619,127.0254359
SH00002508,수원농생명과학고등학교,4100000000,경기도,4111100000,수원시 장안구,4111113400,영화동,경기도 수원시 장안구 영화동 37-60,37.2948004,127.0189059
SH00009244,수원여자고등학교,4100000000,경기도,4111500000,수원시 팔달구,4111513700,고등동,경기도 수원시 팔달구 고등동 19-1,37.2767216,127.0041886
SH00007533,수원외국어고등학교,4100000000,경기도,4111700000,수원시 영통구,4111710300,이의동,경기도 수원시 영통구 이의동 1088-6,37.2953915,127.0351329
SH00009628,수원정보과학고등학교,4100000000,경기도,4111700000,수원시 영통구,4111710200,원천동,경기도 수원시 영통구 원천동 78-8,37.275824,127.0498625
SH00009245,수원칠보고등학교,4100000000,경기도,4111300000,수원시 권선구,4111313400,금곡동,경기도 수원시 권선구 금곡동 1073,37.2751375282,126.944923
SH00004148,수원하이텍고등학교,4100000000,경기도,4111700000,수원시 영통구,4111710500,영통동,경기도 수원시 영통구 영통동 1049-1,37.2558978,127.0813395
SH00006181,수일고등학교,4100000000,경기도,4111100000,수원시 장안구,4111113600,조원동,경기도 수원시 장안구 조원동 21,37.3076656,127.0180992
SH00006211,수주고등학교,4100000000,경기도,4119600000,부천시 오정구,4119610500,고강동,경기도 부천시 고강동 275-11,37.5320797,126.8153143
SH00005471,수지고등학교,4100000000,경기도,4146500000,용인시 수지구,4146510100,풍덕천동,경기도 용인시 수지구 풍덕천동 688,37.3310169,127.0919707
SH00006130,양운고등학교,2600000000,부산광역시,2635000000,해운대구,2635010700,좌동,부산광역시 해운대구 좌동 1395,35.1778651271,129.170547254
SH00000353,양일고등학교,4100000000,경기도,4183000000,양평군,4183025021,양평읍,경기도 양평군 양평읍 양근리 148,37.4935402,127.4945592
SH00003730,양재고등학교,1100000000,서울특별시,1165000000,서초구,1165010800,서초동,서울특별시 서초구 서초동 1376-4,37.4827746,127.0324921
SH00004081,양정고등학교,2600000000,부산광역시,2623000000,부산진구,2623010100,양정동,부산광역시 부산진구 양정동 33-33,35.1699109584,129.075085826
SH00001760,양정고등학교,1100000000,서울특별시,1147000000,양천구,1147010200,목동,서울특별시 양천구 목동 911-2,37.5347501,126.8871706
SH00009234,양주고등학교,4100000000,경기도,4163000000,양주시,4163010800,삼숭동,경기도 양주시 삼숭동 680-1,37.7946421,127.107311
SH00006165,양주백석고등학교,4100000000,경기도,4163000000,양주시,4163025022,백석읍,경기도 양주시 백석읍 오산리 554,37.7916117,126.9866381
SH00001490,양지고등학교,3600000000,세종특별자치시,3611000000,,3611011400,도담동,세종특별자치시 도담동 895,36.5093797,127.268380215
SH00006223,양지고등학교,4100000000,경기도,4127300000,안산시 단원구,4127310100,고잔동,경기도 안산시 단원구 고잔동 713,37.3095352,126.8222683
SH00003226,양천고등학교,1100000000,서울특별시,1147000000,양천구,1147010100,신정동,서울특별시 양천구 신정동 산 109-1,37.5088072,126.8459167
SH00000341,양청고등학교,4300000000,충청북도,4311400000,청주시 청원구,4311425345,오창읍,충청북도 청주시 청원구 오창읍 양청리 656-2,36.7269894579,127.433520337
SH00007003,양평고등학교,4100000000,경기도,4183000000,양평군,4183025021,양평읍,경기도 양평군 양평읍 양근리 237-1,37.4853951,127.4961847
SH00011371,양평전자과학고등학교,4100000000,경기도,4183000000,양평군,4183033028,양서면,경기도 양평군 양서면 국수리 330-12,37.5099942069,127.4007426636
SH00001589,양현고등학교,5200000000,전북특별자치도,5211300000,전주시 덕진구,5211313200,장동,전라북도 전주시 덕진구 장동 1072,35.8420164,127.0589072
SH00002539,용남고등학교,4400000000,충청남도,4425000000,계룡시,4425033021,신도안면,충청남도 계룡시 신도안면 남선리 1278,36.294227,127.2455403
SH00010513,용남고등학교,4800000000,경상남도,4824000000,사천시,4824033022,용현면,경상남도 사천시 용현면 선진리 67,35.0441957131,128.06438276
