fac_cd,fac_nm,ctp_cd,ctp_nm,sig_cd,sig_nm,emd_cd,emd_nm,all_addr_nm,lat,lon
502748,포항대학교,4700000000,경상북도,4711300000,포항시 북구,4711325035,흥해읍,경상북도 포항시 북구 흥해읍 포항대학로 7 ,36.0868180159857,129.41082266197782
502749,인천대학교,2800000000,인천광역시,2818500000,연수구,2818510600,송도동,"인천광역시 연수구 아카데미로 119 (송도동, 인천대학교) ",37.37803463500687,126.63251429696427
502760,한국폴리텍 VI 대학 영주캠퍼스,4700000000,경상북도,4721000000,영주시,4721010600,문정동,"경상북도 영주시 가흥로 2 (문정동, 한국폴리텍VI대학) ",36.8009425869924,128.6009107949946
502765,KDB금융대학교,1100000000,서울특별시,1156000000,영등포구,1156011000,여의도동,"서울특별시 영등포구 은행로 14 (여의도동, 산업은행본점) ",37.52715167298513,126.92089666496862
502769,신한대학교,4100000000,경기도,4125000000,동두천시,4125011200,상패동,"경기도 동두천시 벌마들로40번길 30 (상패동, 신한대학교) ",37.903870611000265,127.03788749503074
502776,단국대학교,4400000000,충청남도,4413100000,천안시 동남구,4413111900,안서동,"충청남도 천안시 동남구 단대로 119 (안서동, 단국대학교천안캠퍼스) ",36.84005658500494,127.17171485800051
502784,경동대학교,4100000000,경기도,4163000000,양주시,4163011500,고암동,경기도 양주시 경동대학로 27 (고암동) ,37.80946173403293,127.07052974001505
502786,가야대학교(김해),4800000000,경상남도,4825000000,김해시,4825010700,삼계동,경상남도 김해시 삼계로 208 (삼계동) ,35.26938366997692,128.87378047400176
502787,가야대학교(고령),4700000000,경상북도,4783000000,고령군,4783025326,대가야읍,"경상북도 고령군 대가야읍 대가야로 1103 (지산리, 가야대학교) ",35.715369338027166,128.25217578396146
502791,신한대학교,4100000000,경기도,4115000000,의정부시,4115010200,호원동,"경기도 의정부시 호암로 95 (호원동, 신한대학교) ",37.71085547002067,127.04572257201308
502817,한국폴리텍 III 대학 원주캠퍼스,5100000000,강원특별자치도,5113000000,원주시,5113011100,우산동,강원특별자치도 원주시 북원로2425번길 73 (우산동) ,37.36231517401605,127.93332971696034
502853,을지대학교,4100000000,경기도,4115000000,의정부시,4115010900,금오동,경기도 의정부시 동일로 712 (금오동) ,37.75295196903198,127.05333382700502
