corp_cd,corp_nm,ctp_cd,ctp_nm,sig_cd,sig_nm,emd_cd,emd_nm,all_addr_nm,lon,lat,corp_depth1_cd,corp_depth1,corp_depth2_cd,corp_depth2,corp_depth3_cd,corp_depth3,corp_depth4_cd,corp_depth4,corp_depth5_cd,corp_depth5
220622,서호전기(주),4100000000,경기도,4117300000,안양시 동안구,4117310400,호계동,경기도 안양시 동안구  귀인로 9,126.9426174738,37.3865858566,C,제조업,28,전기장비 제조업,281,"전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업",2812,전기 공급 및 제어장치 제조업,28123,배전반 및 전기 자동제어반 제조업
446831,(주)세실,4400000000,충청남도,4423000000,논산시,4423025324,연무읍,"충청남도 논산시 연무읍 동안로1113번길 39-23 (동산리, (주)세실)",127.1290514879,36.1318599082,,,,,,,,,,
149646,중소기업은행,1100000000,서울특별시,1114000000,중구,1114010500,을지로2가,서울특별시 중구 을지로 79 중소기업은행본점,126.9865654708,37.5664935315,K,금융 및 보험업,64,금융업,641,은행 및 저축기관,6412,일반은행,64121,국내은행
361169,한국전자인증(주),1100000000,서울특별시,1165000000,서초구,1165010800,서초동,서울특별시 서초구 서초대로62길 9-22 자동차산업회관 501호,127.0205391791,37.4948819077,J,정보통신업,58,출판업,582,소프트웨어 개발 및 공급업,5822,시스템ㆍ응용 소프트웨어 개발 및 공급업,58221,시스템 소프트웨어 개발 및 공급업
1714997,(주)신한글로벌액티브위탁관리부동산투자회사,1100000000,서울특별시,1114000000,중구,1114010100,무교동,"서울특별시 중구 세종대로 136 , 4층, 6층(태평로1가, 서울파이낸스센터)",126.9782565326,37.5684232177,K,금융 및 보험업,64,금융업,642,신탁업 및 집합투자업,6420,신탁업 및 집합투자업,64201,신탁업 및 집합투자업
1689035,주식회사 민테크,3000000000,대전광역시,3020000000,유성구,3020015300,구룡동,대전광역시 유성구 국제과학21로 62 -,127.3501499841,36.4434909201,C,제조업,27,"의료, 정밀, 광학기기 및 시계 제조업",272,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2721,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업",27212,"전자기 측정, 시험 및 분석기구 제조업"
681373,(주)디지캡,1100000000,서울특별시,1150000000,강서구,1150010500,마곡동,서울특별시 강서구 마곡중앙8로7길 11 &nbsp,126.8381679858,37.5618556078,J,정보통신업,58,출판업,582,소프트웨어 개발 및 공급업,5822,시스템ㆍ응용 소프트웨어 개발 및 공급업,58221,시스템 소프트웨어 개발 및 공급업
1353024,(주)티에스트릴리온,1100000000,서울특별시,1156000000,영등포구,1156012800,양평동4가,"서울특별시 영등포구 양평로 96 1층,6층,8층(양평동4가,티에스빌딩)",126.8967707908,37.5367047033,C,제조업,20,화학물질 및 화학제품 제조업; 의약품 제외,204,기타 화학제품 제조업,2049,그 외 기타 화학제품 제조업,20495,바이오 연료 및 혼합물 제조업
1555215,(주)스마트레이더시스템,4100000000,경기도,4113500000,성남시 분당구,4113510700,야탑동,경기도 성남시 분당구 성남대로925번길 41 파인벤처빌딩 3층,127.1239692489,37.4117923103,C,제조업,27,"의료, 정밀, 광학기기 및 시계 제조업",272,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2721,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업",27219,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업"
1137860,(주)위너스,4100000000,경기도,4136000000,남양주시,4136025327,진접읍,경기도 남양주시 진접읍 진벌로223번길 53,127.2303568904,37.7420168342,C,제조업,28,전기장비 제조업,289,기타 전기장비 제조업,2890,기타 전기장비 제조업,28903,교통 신호장치 제조업
445841,(주)MDS테크,4100000000,경기도,4113500000,성남시 분당구,4113510900,삼평동,"경기도 성남시 분당구 대왕판교로644번길 49 9층(삼평동, DTC타워)",127.1123123711,37.4001662034,J,정보통신업,58,출판업,582,소프트웨어 개발 및 공급업,5822,시스템ㆍ응용 소프트웨어 개발 및 공급업,58221,시스템 소프트웨어 개발 및 공급업
446479,신비앤텍(주),4400000000,충청남도,4420000000,아산시,4420035033,음봉면,"충청남도 아산시 음봉면 백석공단1로 159 (산동리, 신비앤텍(주))",127.1045577927,36.835962457,C,제조업,29,기타 기계 및 장비 제조업,292,특수 목적용 기계 제조업,2927,반도체 및 디스플레이 제조용 기계 제조업,29271,반도체 제조용 기계 제조업
370255,(주)테크엘,4100000000,경기도,4159000000,화성시,4159013600,장지동,경기도 화성시  동탄면 경기동로 548,127.1270363354,37.1482361005,C,제조업,26,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",261,반도체 제조업,2612,"다이오드, 트랜지스터 및 유사 반도체소자 제조업",,
128971,디엘건설(주),2800000000,인천광역시,2820000000,남동구,2820010100,구월동,인천광역시 남동구  미래로 14,126.7049690265,37.4511241441,F,건설업,41,종합 건설업,411,건물 건설업,4112,비주거용 건물 건설업,41129,기타 비주거용 건물 건설업
917861,(주)슈피겐코리아,1100000000,서울특별시,1168000000,강남구,1168010500,삼성동,서울특별시 강남구 봉은사로 446 슈피겐HQ,127.0485166953,37.511367809,C,제조업,33,기타 제품 제조업,339,그 외 기타 제품 제조업,3399,그 외 기타 분류 안된 제품 제조업,33993,비 및 솔 제조업
298447,(주)아모텍,,,,,,,인천 남동구 남촌동 617 남동공단 5블럭 1롯트,,,C,제조업,26,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자부품 제조업,2629,기타 전자부품 제조업,26295,전자감지장치 제조업
