fac_cd,fac_nm,all_addr_nm,lat,lon
502866,가톨릭관동대학교 사회복지대학원,강원특별자치도 강릉시 범일로579번길 24 (내곡동) ,37.736598615009505,128.8765369769988
502867,인천대학교 정책대학원,"인천광역시 연수구 아카데미로 119 (송도동, 인천대학교) ",37.37803463500687,126.63251429696427
502868,가야대학교 행정대학원(김해),경상남도 김해시 삼계로 208 (삼계동) ,35.26938366997692,128.87378047400176
502869,가야대학교 보건대학원(김해),경상남도 김해시 삼계로 208 (삼계동) ,35.26938366997692,128.87378047400176
502870,가야대학교 일반대학원(김해),경상남도 김해시 삼계로 208 (삼계동) ,35.26938366997692,128.87378047400176
502871,서울과학기술대학교 주택도시대학원,"서울특별시 노원구 공릉로 232 (공릉동, 서울과학기술대학교) ",37.634753003966395,127.08030555000344
502872,삼육대학교 임상간호대학원,"서울특별시 노원구 화랑로 815 (공릉동, 삼육대학교) ",37.64052451499044,127.10850700598952
502873,신라대학교 상담치료대학원,"부산광역시 사상구 백양대로700번길 140 (괘법동, 신라대학교) ",35.1692333489667,128.9952846240263
502874,가톨릭대학교 교회법대학원,"경기도 부천시 지봉로 43 (역곡동, 가톨릭대학교성심교정) ",37.48748500399577,126.7985672140076
502875,신라대학교 산업융합대학원,"부산광역시 사상구 백양대로700번길 140 (괘법동, 신라대학교) ",35.1692333489667,128.9952846240263
502876,홍익대학교,"세종특별자치시 조치원읍 세종로 2639 (신안리, 홍익대학교세종캠퍼스) ",36.62177270101253,127.28368953899458
502877,홍익대학교 대학원,"세종특별자치시 조치원읍 세종로 2639 (신안리, 홍익대학교세종캠퍼스) ",36.62177270101253,127.28368953899458
502878,홍익대학교 문화정보정책대학원,"세종특별자치시 조치원읍 세종로 2639 (신안리, 홍익대학교세종캠퍼스) ",36.62177270101253,127.28368953899458
502879,홍익대학교 스마트도시 과학경영대학원,"세종특별자치시 조치원읍 세종로 2639 (신안리, 홍익대학교세종캠퍼스) ",36.62177270101253,127.28368953899458
502880,세종사이버대학교 정보보호대학원,"서울특별시 광진구 군자로 121 (군자동, 세종사이버대학) ",37.55372836703098,127.07288825502556
