BSI업종코드,SRR업종코드,계층구분코드,국내업체업종세그먼트코드,국외업체업종세그먼트코드,등록경로구분코드,등록부서코드,등록사용자ID,등록일시,수정경로구분코드,수정부서코드,수정사용자ID,수정일시,업종영문명,업종코드,업종코드버전,업종한글명,원본업종코드
,267_8,2,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of photographic equipment and optical instruments,273,10,사진장비 및 광학기기 제조업,C273
,2811,3,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,"Manufacture of internal combustion piston engines and turbines, except aircraft, vehicle and cycle propulsion engines",2911,10,내연기관 및 터빈 제조업; 항공기용 및 차량용 제외,C2911
,2816,3,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,"Manufacture of work trucks, lifting and handling equipment",2916,10,"산업용 트럭, 승강기 및 물품취급장비 제조업",C2916
,2652,2,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,"Manufacture of watches, clocks and its parts",274,10,시계 및 시계부품 제조업,C274
,2652,3,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,"Manufacture of watches, clocks and its parts",2740,10,시계 및 시계부품 제조업,C2740
,27,1,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of electrical equipment,28,10,전기장비 제조업,C28
,271,2,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",281,10,"전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업",C281
,271,3,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,"Manufacture of electric motors, generators and transformers",2811,10,"전동기, 발전기 및 전기 변환장치 제조업",C2811
,271,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of electric motors and generators,28111,10,전동기 및 발전기 제조업,C28111
,271,4,2,2,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Manufacture of transformers,28112,10,변압기 제조업,C28112
